,gr,data_type,condition
1899,0.0845970298869661,prediction,auto
1900,0.0845943089368571,prediction,auto
1901,0.0845900083632189,prediction,auto
1902,0.0845901591026278,prediction,auto
1903,0.0845895042000311,prediction,auto
1904,0.0845808043789674,prediction,auto
1905,0.0845821317089905,prediction,auto
1906,0.0845830918951523,prediction,auto
1907,0.0845815898517319,prediction,auto
1908,0.0845816173709142,prediction,auto
1909,0.084576979924989,prediction,auto
1910,0.0845748402003923,prediction,auto
1911,0.0845742145496206,prediction,auto
1912,0.0845744146958684,prediction,auto
1913,0.0845565284220841,prediction,auto
1914,0.0845573124130915,prediction,auto
1915,0.0845624803760486,prediction,auto
1916,0.0845623377204033,prediction,auto
1917,0.0845629347081473,prediction,auto
1918,0.0845629467245594,prediction,auto
1919,0.0844362487948491,prediction,auto
1920,0.0844372346448601,prediction,auto
1921,0.0844372282705229,prediction,auto
1922,0.0837226631395606,prediction,auto
1923,0.0837150604088547,prediction,auto
1924,0.083714314959642,prediction,auto
1925,0.0837144302566816,prediction,auto
1926,0.0837152776793492,prediction,auto
1927,0.0837158519270367,prediction,auto
1928,0.0837110744975901,prediction,auto
1929,0.083709894233972,prediction,auto
1930,0.083713773375301,prediction,auto
1931,0.0837111364203557,prediction,auto
1932,0.0836673697835736,prediction,auto
1933,0.0836664138245731,prediction,auto
1934,0.0836622330521603,prediction,auto
1935,0.0836575027228386,prediction,auto
1936,0.0836546465793988,prediction,auto
1937,0.0836561219516459,prediction,auto
1938,0.0836578308276533,prediction,auto
1939,0.0836568751605449,prediction,auto
1940,0.0836608266207222,prediction,auto
1941,0.0836746451867696,prediction,auto
1942,0.083677054171196,prediction,auto
1943,0.0836794755525335,prediction,auto
1944,0.0836940041363647,prediction,auto
1945,0.0836978893374682,prediction,auto
1946,0.0836977325797378,prediction,auto
1947,0.0837018227399549,prediction,auto
1948,0.0837015644370472,prediction,auto
1949,0.0837055913799689,prediction,auto
1950,0.0837071803825169,prediction,auto
1951,0.0837091280067557,prediction,auto
1952,0.083709964118173,prediction,auto
1953,0.0837111902667587,prediction,auto
1954,0.0837224537017705,prediction,auto
1955,0.0837216113021027,prediction,auto
