items,iLB1027_lipid,iMK_draft17,iTps1432,Lavoie2020
FACOAL_220,1,1,1,1
FACOAL240,1,1,0,0
PLA2PC_MYRS_STA,1,1,1,0
PLA2PC_PALM_STA,1,1,1,0
PLA2PC_HDE_STA,1,1,1,1
PLA2PC_STC_STA,1,1,1,0
PLA2PC_LNA_STA,1,1,1,0
PLA2PC_OLE_STA,1,1,1,0
PLA2PC_EPA_STA,1,1,1,1
PLA2PC_DHA_STA,1,1,1,0
PLA2PC_MYRS_GLNA,1,1,1,0
PLA2PC_PALM_GLNA,1,1,1,0
PLA2PC_HDE_GLNA,1,1,1,1
PLA2PC_STC_GLNA,1,1,1,0
PLA2PC_LNA_GLNA,1,1,1,0
PLA2PC_OLE_GLNA,1,1,1,0
PLA2PC_EPA_GLNA,1,1,1,1
PLA2PC_DHA_GLNA,1,1,1,0
3OAS200,1,1,1,1
3OAR200,1,1,1,1
3HAD200,1,1,1,1
EAR200,1,1,1,1
3OAS220,1,1,1,1
3OAR220,1,1,1,1
3HAD220,1,1,1,1
EAR220,1,1,1,1
3OAS240,1,1,1,1
3OAR240,1,1,1,1
3HAD240,1,1,1,1
EAR240,1,1,1,1
ELO6ETA,1,1,1,1
FAEL183_cho,1,1,0,0
LPCAT_MYRS_ETA_sn2,1,1,1,0
LPCAT_MYRS_DGLA_sn2,1,1,1,0
LPCAT_PALM_ETA_sn2,1,1,1,0
LPCAT_PALM_DGLA_sn2,1,1,1,0
LPCAT_HDE_ETA_sn2,1,1,1,1
LPCAT_HDE_DGLA_sn2,1,1,1,1
LPCAT_STC_ETA_sn2,1,1,1,0
LPCAT_STC_DGLA_sn2,1,1,1,0
LPCAT_LNA_ETA_sn2,1,1,1,0
LPCAT_LNA_DGLA_sn2,1,1,1,0
LPCAT_OLE_ETA_sn2,1,1,1,0
LPCAT_OLE_DGLA_sn2,1,1,1,0
LPCAT_EPA_ETA_sn2,1,1,1,1
LPCAT_EPA_DGLA_sn2,1,1,1,1
LPCAT_DHA_ETA_sn2,1,1,1,0
LPCAT_DHA_DGLA_sn2,1,1,1,0
PCW3DS_MYRS_ETA_sn2,1,1,1,0
PCW3DS_PALM_ETA_sn2,1,1,1,0
PCW3DS_HDE_ETA_sn2,1,1,1,1
PCW3DS_STC_ETA_sn2,1,1,1,0
PCW3DS_LNA_ETA_sn2,1,1,1,0
PCW3DS_OLE_ETA_sn2,1,1,1,0
PCW3DS_EPA_ETA_sn2,1,1,1,1
