items,iLB1027_lipid,iMK_draft17,iTps1432,Lavoie2020
PLDAGAT_HDE_PALM_PALM_PE_12,1,1,1,0
PLDAGAT_HDE_PALM_PALM_PE_13,1,1,1,0
PLDAGAT_HDE_PALM_PALM_PE_14,1,1,1,0
PLDAGAT_HDE_PALM_PALM_PE_15,1,1,1,0
PLDAGAT_HDE_PALM_PALM_PE_16,1,1,1,0
PLDAGAT_HDE_PALM_EPA_PC_1,1,1,1,0
PLDAGAT_HDE_PALM_EPA_PC_2,1,1,1,0
PLDAGAT_HDE_PALM_EPA_PC_3,1,1,1,1
PLDAGAT_HDE_PALM_EPA_PC_4,1,1,1,0
PLDAGAT_HDE_PALM_EPA_PC_5,1,1,1,0
PLDAGAT_HDE_PALM_EPA_PC_6,1,1,1,1
PLDAGAT_HDE_PALM_EPA_PC_7,1,1,1,0
PLDAGAT_HDE_PALM_EPA_PC_8,1,1,1,0
PLDAGAT_HDE_PALM_EPA_PE_9,1,1,1,0
PLDAGAT_HDE_PALM_EPA_PE_10,1,1,1,0
PLDAGAT_HDE_PALM_EPA_PE_11,1,1,1,0
PLDAGAT_HDE_PALM_EPA_PE_12,1,1,1,0
PLDAGAT_HDE_PALM_EPA_PE_13,1,1,1,0
PLDAGAT_HDE_PALM_EPA_PE_14,1,1,1,1
PLDAGAT_HDE_PALM_EPA_PE_15,1,1,1,0
PLDAGAT_HDE_PALM_EPA_PE_16,1,1,1,0
TAG_OLE_HDE_HDEt,1,1,1,0
TAG_HDE_PALM_PALMt,1,1,1,1
TAGAH_HDE_PALM_PALM,1,1,1,1
TAGAH_MYRS_HDE_HDE,1,1,1,0
TAGAH_MYRS_HDE_PALM,1,1,1,0
TAGAH_HDE_PALM_EPA,1,1,1,1
TAGAH_HDE_EPA_HDTE,1,1,1,1
DM_BIOMASS,1,0,0,0
BIOMASS_pigm,1,0,0,0
BIOMASS_mem_lipids,1,0,0,0
BIOMASS_TAG,1,0,0,0
BIOMASS_carb,1,0,0,0
bof,1,0,0,0
CEF,1,1,1,1
NDHPQR,1,1,1,1
PTOX,1,1,1,1
DM_no3,1,0,0,1
MTOBR,1,1,1,1
MTHBMT,1,1,1,1
DMPSS,1,1,1,1
BIOMASS_DNA,1,0,0,0
BIOMASS_RNA,1,0,0,0
DM_dmsp,1,0,0,1
DM_indole,1,0,0,1
HISD,1,1,1,1
SK_for,1,0,0,0
BIOMASS_pro,1,0,0,0
ACGSm,1,1,0,0
MEHLER,1,1,1,1
ATPPHm,1,1,0,0
B13GS,1,1,0,1
AOX,1,1,1,1
DHASCBt,1,1,1,1
SOX,1,1,0,1
SOD,1,1,0,1
FNOR2,1,1,0,1
UREAt_1,1,0,0,0
EX_urea_e,1,1,1,1
FA140ACPHi_1,1,1,0,0
G3PAT182_9_12,1,1,0,1
AGPATCOA_LNA_LNA,1,1,1,1
CHOPT_LNA_LNA,1,1,1,1
,1,0,1,1
34DHALDD,0,1,0,0
34DHOXPEGOX,0,1,0,0
34DHPHAMT,0,1,0,0
3HOPCD,0,1,0,0
3HXKYNOXDA,0,1,0,0
3MOXTYROX,0,1,0,0
3OAR121,0,1,0,0
3OAR141,0,1,0,0
3OAR161,0,1,0,0
3OAR180,0,1,1,1
3SALATAi,0,1,0,0
3SALATAim,0,1,0,0
41R1H2MAE12BOOX,0,1,0,0
41R2A1H12BOOX,0,1,0,0
42A12BOOX,0,1,0,0
4ABUTD,0,1,0,0
4CMCOAS,0,1,0,0
4CMLCL_kt,0,1,0,0
4HTHRS,0,1,0,0
5DGLCNR,0,1,0,0
5HOXINDACTOX,0,1,0,0
5HOXINDACTOXm,0,1,0,0
5HOXINOXDA,0,1,0,0
5HXKYNOXDA,0,1,0,0
6MPURPRT,0,1,0,0
6TINS5MPOR,0,1,0,0
AACOAR_syn,0,1,0,0
AACTOOR,0,1,0,0
AATC,0,1,0,0
AATG,0,1,0,0
ABFPT,0,1,0,0
ABFPTh,0,1,0,0
ABOR,0,1,0,0
ABUTD,0,1,0,0
ABUTDm,0,1,0,0
ACACT1r,0,1,0,0
ACACT1x,0,1,0,0
ACACT2,0,1,0,0
ACACT2r,0,1,0,0
ACACT3,0,1,0,0
ACACT3r,0,1,0,0
ACACT4r,0,1,0,0
ACACT5r,0,1,0,0
ACACT6r,0,1,0,0
ACACT7r,0,1,0,0
ACCAHh,0,1,0,0
ACCAHm,0,1,0,0
ACCOAC_1,0,1,0,0
ACOA40OR,0,1,0,0
ACOA60OR,0,1,0,0
ACOA80OR,0,1,0,0
ACOAD1f,0,1,0,0
ACOAD2f,0,1,0,0
ACOAD3,0,1,0,0
ACOAD3f,0,1,0,0
ACOAD4,0,1,0,0
ACOAD4_1,0,1,0,0
ACOAD4f,0,1,0,0
ACOAD5f,0,1,0,0
ACOAD6,0,1,0,0
ACOAD6f,0,1,0,0
ACOAD7f,0,1,0,0
ACOADH1,0,1,0,0
ACOATA,0,1,1,1
ACODA,0,1,0,0
ACODA_1,0,1,0,0
ACP1e,0,1,0,0
ACP1_FMN,0,1,0,0
ACSm,0,1,0,0
ACSp,0,1,0,0
ADAe,0,1,0,0
ADK1m,0,1,0,0
ADK2,0,1,0,0
ADPT2,0,1,0,0
AGPAT120,0,1,0,0
AGPAT140,0,1,0,0
AGPAT141,0,1,0,0
AGPAT160,0,1,0,0
AGPAT161,0,1,0,0
AGPAT180,0,1,0,0
AGPAT181,0,1,0,0
AHEXASE3,0,1,0,0
AKGDH,0,1,0,0
AKGDm,0,1,0,0
AKP1,0,1,0,0
ALCD19y,0,1,0,0
ALCD22xi,0,1,0,0
ALCD22xim,0,1,0,0
ALCD23xi,0,1,0,0
ALCD23xim,0,1,0,0
ALCD24xi,0,1,0,0
ALCD24xim,0,1,0,0
ALCD25xi,0,1,0,0
ALCD25xim,0,1,0,0
ALCD2irm,0,1,0,0
ALCD3ir,0,1,0,0
ALCDH_nadp_hi,0,1,0,0
ALCDkt,0,1,0,0
ALDD20x,0,1,0,0
ALDD20x_1,0,1,0,0
ALDD20xm,0,1,0,0
ALDD22x,0,1,0,0
ALDD2x,0,1,0,0
ALDD2xm,0,1,0,0
ALDD32,0,1,0,0
ALDD8,0,1,0,0
ALDH,0,1,1,0
ALKP,0,1,0,0
ALLPI,0,1,0,0
ALTRH,0,1,0,0
AMAA,0,1,0,0
AMAOTr,0,1,0,0
AMO,0,1,0,0
AMPTASECG,0,1,0,0
AMPTASECGe,0,1,0,0
ANTPPT,0,1,0,0
AOOAh,0,1,0,0
APAPTm,0,1,0,0
APCS,0,1,0,0
APRTO2,0,1,0,0
ARABR,0,1,0,0
ARABRr,0,1,0,0
ASAD,0,1,0,0
ASAPT,0,1,0,0
ASNNe,0,1,0,0
ASNNm,0,1,0,0
ASPCTm,0,1,0,0
ASPO1,0,1,0,0
ASPO6,0,1,0,0
ASPOcm,0,1,0,0
ASPOm,0,1,0,0
ASPSE,0,1,0,0
ASPTAp,0,1,0,0
ATAMh,0,1,0,0
ATDAMh,0,1,0,0
ATDAMm,0,1,0,0
ATDGDm,0,1,0,0
ATGDm,0,1,0,0
ATNAH,0,1,0,1
ATPH1,0,1,0,0
ATPH1e,0,1,0,0
ATPH2e,0,1,0,0
ATPS3m,0,1,0,0
ATPS4r,0,1,0,0
ATPSh,0,1,0,0
ATPtm,0,1,0,0
BG_CELLB,0,1,0,0
BGLA,0,1,0,0
BG_MADG,0,1,0,0
BG_MBDG,0,1,0,0
C2M26DCOAHLm,0,1,0,0
C2M26DCOAHLx,0,1,0,0
CA2abc,0,1,0,0
CA2t,0,1,0,0
CAFFCOA,0,1,0,0
CBIAT,0,1,0,0
CBLAT,0,1,1,0
CBLAT_DELETE,0,1,0,0
CBLATm,0,1,0,0
CBPSam,0,1,0,0
CDPMEK,0,1,1,0
CHLSTR,0,1,0,0
CHOLD2,0,1,0,0
CHOLD2m,0,1,0,0
CK,0,1,0,0
CKc,0,1,0,0
CMPDAi,0,1,0,0
CPPPGO,0,1,1,1
CPPPGO2,0,1,0,0
CU2abcpp,0,1,0,0
CU2abcu_syn,0,1,0,0
Cuabc,0,1,0,0
CYOOm2,0,1,0,0
CYRDAAT,0,1,0,0
CYSAT,0,1,0,0
CYSDDS,0,1,0,0
CYSTAm,0,1,0,0
CYTK1m,0,1,0,0
DAAD,0,1,0,0
DADAe,0,1,0,0
DASYN120,0,1,0,0
DASYN140,0,1,0,0
DASYN141,0,1,0,0
DASYN160,0,1,0,0
DASYN161,0,1,0,0
DASYN180,0,1,0,0
DASYN181,0,1,0,0
DASYN_HP,0,1,0,0
DDMCITALOR,0,1,0,0
DDSMSTOLR,0,1,0,0
DHACOAH,0,1,0,0
DHQS,0,1,1,1
DIPS,0,1,0,0
DLDLBT,0,1,0,0
DMCITALOR,0,1,0,0
DMQMT,0,1,0,0
DOPAMT,0,1,0,0
DPCOAKm,0,1,0,0
DPR,0,1,0,0
DRBK,0,1,0,0
DSMSTOLR,0,1,0,0
DXPS,0,1,1,1
ECH_3hivcoa,0,1,0,0
ECOAH1,0,1,0,0
ECOAH1_1,0,1,0,0
ECOAH11p,0,1,0,0
ECOAH12,0,1,0,0
ECOAH1x,0,1,0,0
ECOAH2,0,1,0,0
ECOAH2_1,0,1,0,0
ECOAH3,0,1,0,0
ECOAH3_1,0,1,0,0
ECOAH4,0,1,0,0
ECOAH5,0,1,0,0
ECOAH5_1,0,1,0,0
ECOAH6,0,1,0,0
ECOAH7,0,1,0,0
ECOAH8,0,1,0,0
FACOAE160,0,1,0,0
FERO,0,1,0,0
FEROt,0,1,0,0
FERULCOAS,0,1,0,0
FOMETRi,0,1,0,0
FRD3,0,1,0,0
FRD5,0,1,0,0
FRDcm,0,1,0,0
FRDm,0,1,0,0
FTCL,0,1,0,0
G5DHx,0,1,0,0
G5SD2,0,1,0,0
G5SDym,0,1,0,0
G6PI,0,1,0,0
G6PI_1,0,1,0,0
G6PIh,0,1,0,0
GAM,0,1,0,0
GAPDHh,0,1,0,0
GCC2,0,1,0,0
GCC2am,0,1,0,0
GCC2bim,0,1,0,0
GCCa,0,1,0,0
GCCam,0,1,0,0
GCCb,0,1,0,0
GCCbim,0,1,0,0
GCCc,0,1,0,0
GCCcm,0,1,0,0
GCPN,0,1,1,0
GDTP,0,1,1,1
GK1m,0,1,0,0
GK2,0,1,0,0
GLACO,0,1,0,0
GLACOm,0,1,0,0
GLNS,0,1,0,0
GLNSP1,0,1,0,0
GLNSP2,0,1,0,0
GLNSP3,0,1,0,0
GLPT,0,1,0,0
GLUN,0,1,0,0
GLUNm,0,1,0,0
GLYALDDr,0,1,0,0
GLYCDH_1,0,1,0,0
GLYCL,0,1,0,0
GLYCLTDx,0,1,0,0
GLYOX,0,1,0,0
GLYOX_1,0,1,0,0
GLYOXm,0,1,0,0
GPAR,0,1,1,1
GTHPe,0,1,0,0
GTHPm,0,1,0,0
GTMLT,0,1,0,0
GTPH1,0,1,0,0
GULND,0,1,0,0
H2O2syn,0,1,0,0
HACD1,0,1,0,0
HACD10p,0,1,0,0
HACD1_1,0,1,0,0
HACD1x,0,1,0,0
HACD2,0,1,0,0
HACD2_1,0,1,0,0
HACD3,0,1,0,0
HACD3_1,0,1,0,0
HACD4,0,1,0,0
HACD5,0,1,0,0
HACD6,0,1,0,0
HACD7,0,1,0,0
HACD8,0,1,0,0
HACDp,0,1,0,0
HADPCOADH3,0,1,0,0
HBCO_nadp,0,1,0,0
HCGALm,0,1,0,0
HEMELh,0,1,0,0
HEMELm,0,1,0,0
HEX7,0,1,0,0
HIBDkt,0,1,0,0
HMGL,0,1,1,1
HMGLx,0,1,0,0
HOXG_1,0,1,0,0
HPHL,0,1,0,0
HPYRRx,0,1,0,0
HPYRRy,0,1,0,0
ICHORT,0,1,0,0
IGPS_1,0,1,0,0
ILETRSm,0,1,0,0
IMACTD,0,1,0,0
IMPDm,0,1,0,0
INS2D,0,1,1,0
IPPS,0,1,1,1
IPPSm,0,1,0,0
KAS14,0,1,0,0
KAS15,0,1,1,0
LACZ,0,1,0,0
LACZe,0,1,0,0
LCGH,0,1,0,0
LCYSTAT,0,1,1,0
LEUTRSm,0,1,0,0
L_LACD2,0,1,0,0
L_LACD3,0,1,0,0
LPADSS,0,1,0,0
LPLIPAL2A120,0,1,0,0
LPLIPAL2A140,0,1,0,0
LPLIPAL2A141,0,1,0,0
LPLIPAL2A160,0,1,0,0
LPLIPAL2A180,0,1,0,0
LPLIPAL2E160,0,1,0,0
LPLIPAL2E180,0,1,0,0
LTA4H,0,1,0,0
LTHSTRLOR,0,1,0,0
MACCOAT,0,1,0,0
MAOLNOR,0,1,0,0
MATm,0,1,0,0
MCD,0,1,0,0
MCDm,0,1,0,0
MCDp,0,1,0,0
MCOATA,0,1,1,1
MDDCP1ex,0,1,0,0
MDDCP2ex,0,1,0,0
MDDCP3ex,0,1,0,0
MDDCP4ex,0,1,0,0
MDDCP5ex,0,1,0,0
METS,0,1,0,1
METSm,0,1,0,0
METSOXR1,0,1,0,0
METSOXR2,0,1,0,0
METSR_S1,0,1,0,0
MEVK1x,0,1,0,0
MEVK2,0,1,0,0
MEVK3,0,1,0,0
MEVK4,0,1,0,0
MI1PP,0,1,0,0
MI4PP,0,1,0,0
MMCD,0,1,0,0
MMCDm,0,1,0,0
MMCDp,0,1,0,0
MPML_1,0,1,0,0
MTAM,0,1,0,0
NABTNO,0,1,0,0
NABTNOm,0,1,0,0
NACASPAH,0,1,0,0
NADDP,0,1,1,0
NADDPe,0,1,0,0
NADDPp,0,1,0,0
NADH16,0,1,0,0
NADH2r,0,1,0,0
NADH6,0,1,0,0
NADH7,0,1,0,0
NADH8,0,1,0,0
NADPPPS,0,1,0,0
NADPPPSm,0,1,0,0
NAPRTm,0,1,0,0
NBAH,0,1,0,0
NDP10ex,0,1,0,0
NDP3ex,0,1,0,0
NDP4,0,1,0,0
NDP6,0,1,0,0
NDP7ex,0,1,0,0
NDP8ex,0,1,0,0
NDPK10,0,1,0,0
NDPK10m,0,1,0,0
NDPK2m,0,1,0,0
NDPK3m,0,1,0,0
NDPK4m,0,1,0,0
NDPK6m,0,1,0,0
NDPK7m,0,1,0,0
NDPK8m,0,1,0,0
NDPK9m,0,1,0,0
NODOx,0,1,0,0
NODOy,0,1,0,0
NOS,0,1,0,0
NOS1,0,1,0,0
NOS2,0,1,0,0
NOX,0,1,0,0
NTP3e,0,1,0,0
NTPP5,0,1,0,0
NTPP7,0,1,0,0
OCOAT1,0,1,0,0
OHPBAT,0,1,0,0
OPAH,0,1,1,0
OXOAEL,0,1,0,0
PCADYOX,0,1,0,0
PCPPTh,0,1,0,0
PCPPTm,0,1,0,0
PDH,0,1,0,0
PDHa,0,1,0,0
PDHbr,0,1,0,0
PDHcr,0,1,0,0
PDHm,0,1,0,0
PEAMNO,0,1,0,0
PEPAT,0,1,0,0
PFK_2,0,1,0,0
PGLh,0,1,0,0
PGSA120,0,1,0,0
PGSA160,0,1,0,0
PGSA161,0,1,0,0
PGSA180,0,1,0,0
PGSA181,0,1,0,0
PGSA_HP,0,1,0,0
PHETA1m,0,1,0,0
POATh,0,1,0,0
PPCOAC,0,1,1,1
PPM2,0,1,0,0
PRACHh,0,1,0,0
PRDPARh,0,1,0,0
PRPNCOAHYDm,0,1,0,0
PRPNCOAHYDx,0,1,0,0
PSCVT,0,1,0,0
PSD120,0,1,0,0
PSD160,0,1,0,0
PSD161,0,1,0,0
PSD180,0,1,0,0
PSD181,0,1,0,0
PSD_EC,0,1,0,0
PSD_HP,0,1,0,0
PSERT,0,1,0,0
PTA2,0,1,0,0
PTAr,0,1,0,0
PTArh,0,1,0,0
PTArm,0,1,0,0
PTE2x,0,1,0,0
PYLALDOX,0,1,0,0
PYLALDOXm,0,1,0,0
RBFKm,0,1,0,0
RBFSa,0,1,0,0
RBK,0,1,0,0
RDH1,0,1,0,0
RHACOAR100,0,1,0,0
RHACOAR140,0,1,0,0
RHACOAR60,0,1,0,0
RHACOAR80,0,1,0,0
RPDPK,0,1,1,1
SADT2,0,1,0,0
SALCNH,0,1,0,0
SALMCOM,0,1,0,0
SALMCOM2,0,1,0,0
SARCOX,0,1,1,0
SARCOXp,0,1,0,0
SATm,0,1,0,0
SBTRh,0,1,0,0
SDPDS,0,1,0,0
SELADT,0,1,0,0
SELMETAT,0,1,0,0
SERAT,0,1,0,0
SPODM,0,1,1,0
SPODMe,0,1,0,0
SPODMm,0,1,0,0
SPODMx,0,1,0,0
SUCD1,0,1,0,0
SUCD2_u6m,0,1,0,0
SUCD3_u6m,0,1,0,0
SUCDHh,0,1,0,0
SULR_1,0,1,0,0
T2M26DCOAHLm,0,1,0,0
T2M26DCOAHLx,0,1,0,0
TAUDO,0,1,0,0
TGUAPRT,0,1,0,0
THMDP,0,1,0,0
THMDPe,0,1,0,0
THMP,0,1,0,0
THMPe,0,1,0,0
TRYPTAOX,0,1,0,0
TYROXDAc,0,1,0,0
TYRTAh,0,1,0,0
TYRTAim,0,1,0,0
UAGAAT,0,1,0,0
UDPGALM,0,1,1,0
UMPKm,0,1,0,0
UPP3MT,0,1,1,0
UPP3MT_1,0,1,0,0
UPP3MT_2,0,1,0,0
UTPH1,0,1,0,0
VALTRSm,0,1,0,0
ZYMSTR,0,1,0,0
EX_cu2_e,0,1,0,0
EX_mobd_e,0,1,0,0
EX_zn2_e,0,1,0,0
EX_cobalt2_e,0,1,0,0
EX_mn2_e,0,1,0,0
EX_cbl1_e,0,1,0,0
DM_biomass,0,1,1,1
CBL1abc,0,1,0,0
BTNt2i,0,1,0,0
SILICIC,0,1,0,0
EX_silicic_e,0,1,0,0
SILICA,0,1,0,0
PRISM_solar_litho,0,1,0,0
PRISM_solar_exo,0,1,0,0
PRISM_incandescent_60W,0,1,0,0
PRISM_fluorescent_warm_18W,0,1,0,0
PRISM_fluorescent_cool_215W,0,1,0,0
PRISM_metal_halide,0,1,0,0
PRISM_high_pressure_sodium,0,1,0,0
PRISM_growth_room,0,1,0,0
PRISM_white_LED,0,1,0,0
PRISM_red_LED_array_653nm,0,1,0,0
PRISM_red_LED_674nm,0,1,0,0
PRISM_design_growth,0,1,0,0
EX_photonVis_e,0,1,0,0
DM_photon298,0,1,0,0
DM_photon437,0,1,0,0
DM_photon438,0,1,0,0
DM_photon450,0,1,0,0
DM_photon646,0,1,0,0
DM_photon673,0,1,0,0
DM_photon680,0,1,0,0
PSIblue,0,1,0,0
PSIIblue,0,1,0,0
PSIred,0,1,0,0
PSIIred,0,1,0,0
DVPCHLD450OR,0,1,0,0
DVPCHLD646OR,0,1,0,0
PCHLD450OR,0,1,0,0
PCHLD646OR,0,1,0,0
EX_succ_e,0,1,0,0
SUCCt,0,1,1,1
ICDHyr,0,1,0,0
ACALD,0,1,0,0
ANS,0,1,0,0
PYNP2r,0,1,0,0
PFL,0,1,1,0
MDH,0,1,1,1
THRD,0,1,0,1
UGLT,0,1,0,0
LCARS,0,1,0,0
AACPS3,0,1,0,0
GLYAT,0,1,0,0
F6PA,0,1,0,0
IDOND,0,1,0,0
IDOND2,0,1,0,0
G3PD2,0,1,0,0
GLYCDx,0,1,0,0
CBMKr,0,1,0,0
OCBT,0,1,0,0
ADK3,0,1,0,0
GLYtex,0,1,0,0
GLYCLTtex,0,1,0,0
Htex,0,1,0,0
H2Otex,0,1,0,0
O2tpp,0,1,0,0
THD2pp,0,1,0,0
SUCFUMtpp,0,1,0,0
CBL1abcpp,0,1,0,0
CO2tpp,0,1,0,0
D_LACtex,0,1,0,0
CYSabcpp,0,1,0,0
ACt2rpp,0,1,0,0
ATPS4rpp,0,1,0,0
ACt4pp,0,1,0,0
O2tex,0,1,0,0
SUCCtex,0,1,0,0
NAtex,0,1,0,0
NH4tex,0,1,0,0
CO2tex,0,1,0,0
CYStex,0,1,0,0
MTHFR2,0,1,0,0
NO2tex,0,1,0,0
RNDR3b,0,1,0,0
GRXR,0,1,0,0
RNDR1b,0,1,0,0
RNDR2b,0,1,0,0
GDPDPK,0,1,0,0
NAt3_2pp,0,1,0,0
NH4tpp,0,1,0,0
NO2t2rpp,0,1,0,0
PROt2rpp,0,1,0,0
PROt4pp,0,1,0,0
GLUt2rpp,0,1,0,0
GLUt4pp,0,1,0,0
H2Otpp,0,1,0,0
GLYCLTDy,0,1,0,0
ETOHtex,0,1,0,0
GLYCLTt2rpp,0,1,0,0
NO3R1pp,0,1,0,0
SUCOAS,0,1,0,0
AACPS6,0,1,0,0
LDH_D,0,1,0,0
D_LACt2pp,0,1,0,0
NAt3pp,0,1,0,0
CA2tex,0,1,0,0
SUCDi,0,1,0,0
ACONTb,0,1,0,0
GTHRDHpp,0,1,0,0
ACONTa,0,1,0,0
G3PAT180,0,1,1,1
CGLYtex,0,1,0,0
GTHRDabc2pp,0,1,0,0
CAt6pp,0,1,0,0
MG2tpp,0,1,0,0
MG2t3_2pp,0,1,0,0
POR5,0,1,0,0
CTECOAI8,0,1,0,0
ETOHtrpp,0,1,0,0
ACACT8r,0,1,0,0
CTECOAI7,0,1,0,0
FLDR2,0,1,0,0
GDPTPDP,0,1,0,0
VPAMTr,0,1,0,0
BTNt2ipp,0,1,0,0
BTNtex,0,1,0,0
SUCASPtpp,0,1,0,0
GLYtpp,0,1,0,0
CBL1tonex,0,1,0,0
SERtpp,0,1,0,0
SERt2rpp,0,1,0,0
ASPtpp,0,1,0,0
FUMt1pp,0,1,0,0
SUCCt1pp,0,1,0,0
LCARSyi,0,1,0,0
3H2MBCOAOR,0,1,1,1
3HIBDH,0,1,1,1
ACCOAL,0,1,1,0
ACOADAGAT_GLNA_MYRS_HDTE,0,1,1,0
ACOADAGAT_HDE_EPA_STA,0,1,1,0
ACOADAGAT_HDE_HDTE_HDE,0,1,1,0
ACOADAGAT_HDE_HDTE_MYRS,0,1,1,0
ACOADAGAT_MYRS_EPA_HDDE,0,1,1,0
ACOADAGAT_MYRS_EPA_HDTE,0,1,1,0
ACOADAGAT_MYRS_HDE_HDDE,0,1,1,0
ACOADAGAT_MYRS_HDE_STA,0,1,1,0
ACOADAGAT_MYRS_MYRS_STA,0,1,1,0
ACOADAGAT_PALM_EPA_HDTE,0,1,1,0
ACOADAGAT_PALM_EPA_STA,0,1,1,0
ACOADAGAT_PALM_HDE_DHA,0,1,1,0
ACOADAGAT_PALM_HDE_HDDE,0,1,1,0
ACOADAGAT_PALM_HDE_HDTE,0,1,1,0
ACOADAGAT_PALM_HDE_STA,0,1,1,0
ACOADAGAT_PALM_MYRS_HDTE,0,1,1,0
ACOADAGAT_PALM_MYRS_STA,0,1,1,0
ACOADAGAT_PALM_OLE_EPA,0,1,1,0
ACOADAGAT_PALM_PALM_HDTE,0,1,1,0
ACOADAGAT_PALM_PALM_STA,0,1,1,0
ACOADAGAT_PALM_STA_STA,0,1,1,0
ADH,0,1,1,1
ADPRDP,0,1,1,0
AGPATACP_GLNA_HDE,0,1,1,0
AGPATACP_GLNA_PALM,0,1,1,0
AGPATACP_LNA_HDE,0,1,1,0
AGPATACP_LNA_PALM,0,1,1,0
AGPATACP_MYRS_MYRS,0,1,1,0
AGPATACP_PALM_HDE,0,1,1,0
AGPATACP_STA_HDE,0,1,1,0
AGPATACP_STA_MYRS,0,1,1,0
AGPATACP_STA_PALM,0,1,1,0
AGPATACP_STC_PALM,0,1,1,0
AGPATCOA_DHA_HDDE,0,1,1,0
AGPATCOA_DHA_HDTE,0,1,1,0
AGPATCOA_DHA_STA,0,1,1,0
AGPATCOA_EPA_HDDE,0,1,1,0
AGPATCOA_EPA_HDTE,0,1,1,0
AGPATCOA_EPA_STA,0,1,1,0
AGPATCOA_GLNA_GLNA,0,1,1,0
AGPATCOA_GLNA_PALM,0,1,1,0
AGPATCOA_HDDE_HDDE,0,1,1,0
AGPATCOA_HDE_HDDE,0,1,1,0
AGPATCOA_HDE_HDTE,0,1,1,0
AGPATCOA_LNA_PALM,0,1,1,0
AGPATCOA_MYRS_HDDE,0,1,1,0
AGPATCOA_MYRS_HDTE,0,1,1,0
AGPATCOA_OLE_HDDE,0,1,1,0
AGPATCOA_OLE_HDTE,0,1,1,0
AGPATCOA_OLE_STA,0,1,1,0
AGPATCOA_PALM_HDDE,0,1,1,0
AGPATCOA_PALM_HDTE,0,1,1,0
AGPATCOA_PALM_STA,0,1,1,0
AGPATCOA_STA_DHA,0,1,1,0
AGPATCOA_STA_EPA,0,1,1,0
AGPATCOA_STA_HDE,0,1,1,0
AGPATCOA_STA_MYRS,0,1,1,0
AGPATCOA_STA_OLE,0,1,1,0
AGPATCOA_STA_PALM,0,1,1,0
AGPATCOA_STA_STC,0,1,1,0
AGPATCOA_STC_HDDE,0,1,1,0
AGPATCOA_STC_HDTE,0,1,1,0
AGPATCOA_STC_STA,0,1,1,0
AKGCITt,0,1,1,1
AKGMALt,0,1,1,0
ALANA1t_e,0,1,1,0
ALAR,0,1,1,0
AMP5N,0,1,1,1
AMPHt,0,1,1,0
APSK,0,1,1,1
APSR,0,1,1,0
ARG,0,1,1,1
ARGt,0,1,1,1
ASNNA1t_e,0,1,1,0
ASPNA1t,0,1,1,1
ASPTA_L,0,1,1,1
ATAH,0,1,1,1
ATDCM,0,1,1,1
ATPHt,0,1,1,0
BCTAI,0,1,1,1
BCTAL,0,1,1,1
BCTAV,0,1,1,1
CAT2140,0,1,1,1
CAT2160,0,1,1,1
CAT21619Z,0,1,1,1
CAT21819Z,0,1,1,1
CAT21829Z12Z,0,1,1,1
CAT21836Z9Z12Z,0,1,1,1
CAT21839Z12Z15Z,0,1,1,1
CAT2AC,0,1,1,1
CATC140,0,1,1,1
CATC160,0,1,1,1
CATC1619Z,0,1,1,1
CATC1819Z,0,1,1,1
CATC1829Z12Z,0,1,1,1
CATC1836Z9Z12Z,0,1,1,1
CATC1839Z12Z15Z,0,1,1,1
CA,0,1,1,1
CBS,0,1,1,1
CDPDAGS_GLNA_PALM,0,1,1,0
CDPDAGS_MYRS_PALM,0,1,1,0
CDPDAGS_STA_PALM,0,1,1,0
CHITN1,0,1,1,0
CHITN2,0,1,1,0
CHOLNAt_e,0,1,1,0
CHOPT_ALNA_DHA,0,1,1,0
CHOPT_ALNA_EPA,0,1,1,0
CHOPT_ALNA_HDE,0,1,1,0
CHOPT_ALNA_MYRS,0,1,1,0
CHOPT_ALNA_OLE,0,1,1,0
CHOPT_ALNA_PALM,0,1,1,0
CHOPT_ALNA_STC,0,1,1,0
CHOPT_DHA_HDDE,0,1,1,0
CHOPT_DHA_HDTE,0,1,1,0
CHOPT_DHA_STA,0,1,1,0
CHOPT_EPA_HDDE,0,1,1,0
CHOPT_EPA_HDTE,0,1,1,0
CHOPT_EPA_STA,0,1,1,0
CHOPT_GLNA_DHA,0,1,1,0
CHOPT_GLNA_EPA,0,1,1,0
CHOPT_GLNA_HDE,0,1,1,0
CHOPT_GLNA_MYRS,0,1,1,0
CHOPT_GLNA_OLE,0,1,1,0
CHOPT_GLNA_PALM,0,1,1,0
CHOPT_GLNA_STC,0,1,1,0
CHOPT_HDDE_HDDE,0,1,1,0
CHOPT_HDE_HDDE,0,1,1,0
CHOPT_HDE_HDTE,0,1,1,0
CHOPT_MYRS_HDDE,0,1,1,0
CHOPT_MYRS_HDTE,0,1,1,0
CHOPT_MYRS_STA,0,1,1,0
CHOPT_OLE_HDDE,0,1,1,0
CHOPT_OLE_HDTE,0,1,1,0
CHOPT_OLE_STA,0,1,1,0
CHOPT_PALM_HDDE,0,1,1,0
CHOPT_PALM_HDTE,0,1,1,0
CHOPT_PALM_STA,0,1,1,0
CHOPT_STA_DHA,0,1,1,0
CHOPT_STA_EPA,0,1,1,0
CHOPT_STA_HDE,0,1,1,0
CHOPT_STA_MYRS,0,1,1,0
CHOPT_STA_OLE,0,1,1,0
CHOPT_STA_PALM,0,1,1,0
CHOPT_STA_STC,0,1,1,0
